electoral_district,party
Barrie--Springwater--Oro-Medonte,Conservative
Bay of Quinte/Baie de Quinte,Conservative
Beaches--East York,Liberal
Brampton Centre/Brampton-Centre,Liberal
Brampton East/Brampton-Est,Liberal
Brampton North/Brampton-Nord,Liberal
Brampton South/Brampton-Sud,Liberal
Brampton West/Brampton-Ouest,Liberal
Brantford--Brant,Conservative
Bruce--Grey--Owen Sound,Conservative
Burlington,Liberal
Cambridge,Liberal
Carleton,Conservative
Chatham-Kent--Leamington,Conservative
Davenport,Liberal
Don Valley East/Don Valley-Est,Liberal
Don Valley North/Don Valley-Nord,Liberal
Don Valley West/Don Valley-Ouest,Liberal
Dufferin--Caledon,Conservative
Durham,Conservative
Eglinton--Lawrence,Liberal
Elgin--Middlesex--London,Conservative
Essex,Conservative
Etobicoke Centre/Etobicoke-Centre,Liberal
Etobicoke North/Etobicoke-Nord,Liberal
Etobicoke--Lakeshore,Liberal
Flamborough--Glanbrook,Conservative
Glengarry--Prescott--Russell,Liberal
Guelph,Liberal
Haldimand--Norfolk,Conservative
Haliburton--Kawartha Lakes--Brock,Conservative
Hamilton Centre/Hamilton-Centre,New Democratic Party
Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek,Liberal
Hamilton Mountain,Liberal
Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas,Liberal
Hastings--Lennox and Addington,Conservative
Humber River--Black Creek,Liberal
Huron--Bruce,Conservative
Kanata--Carleton,Liberal
Kenora,Conservative
King--Vaughan,Conservative
Kingston and the Islands/Kingston et les Îles,Liberal
Kitchener Centre/Kitchener-Centre,Green Party
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Liberal
Kitchener--Conestoga,Liberal
Lambton--Kent--Middlesex,Conservative
Lanark--Frontenac--Kingston,Conservative
Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes,Conservative
London North Centre/London-Centre-Nord,Liberal
London West/London-Ouest,Liberal
London--Fanshawe,New Democratic Party
Markham--Stouffville,Liberal
Markham--Thornhill,Liberal
Markham--Unionville,Liberal
Milton,Liberal
Mississauga Centre/Mississauga-Centre,Liberal
Mississauga East--Cooksville/Mississauga-Est--Cooksville,Liberal
Mississauga--Erin Mills,Liberal
Mississauga--Lakeshore,Liberal
Mississauga--Malton,Liberal
Mississauga--Streetsville,Liberal
Nepean,Liberal
Newmarket--Aurora,Liberal
Niagara Centre/Niagara-Centre,Liberal
Niagara Falls,Conservative
Niagara West/Niagara-Ouest,Conservative
Nickel Belt,Liberal
Nipissing--Timiskaming,Liberal
Northumberland--Peterborough South/Northumberland--Peterborough-Sud,Conservative
Oakville,Liberal
Oakville North--Burlington/Oakville-Nord--Burlington,Liberal
Orléans,Liberal
Oshawa,Conservative
Ottawa Centre/Ottawa-Centre,Liberal
Ottawa South/Ottawa-Sud,Liberal
Ottawa West--Nepean/Ottawa-Ouest--Nepean,Liberal
Ottawa--Vanier,Liberal
Oxford,Conservative
Parkdale--High Park,Liberal
Parry Sound--Muskoka,Conservative
Perth--Wellington,Conservative
Peterborough--Kawartha,Conservative
Pickering--Uxbridge,Liberal
Renfrew--Nipissing--Pembroke,Conservative
Richmond Hill,Liberal
St. Catharines,Liberal
Sarnia--Lambton,Conservative
Sault Ste. Marie,Liberal
Scarborough Centre/Scarborough-Centre,Liberal
Scarborough North/Scarborough-Nord,Liberal
Scarborough Southwest/Scarborough-Sud-Ouest,Liberal
Scarborough--Agincourt,Liberal
Scarborough--Guildwood,Liberal
Scarborough--Rouge Park,Liberal
